Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
LMND,0.875,0.872,0.763,0.71,0.22
AAPL,0.999,0.764,0.763,0.21,0.36
NVMI,0.855,0.891,0.762,0.43,0.44
REVG,0.805,0.946,0.762,0.53,0.89
WWD,0.807,0.944,0.762,0.3,0.68
SUPN,0.811,0.938,0.761,0.41,0.73
EQX,0.829,0.917,0.76,0.43,0.38
MIR,0.842,0.902,0.759,0.6,0.93
LPLA,0.914,0.83,0.759,0.33,0.52
U,0.953,0.796,0.759,0.55,0.06
IRTC,0.79,0.961,0.759,0.5,0.58
SLDP,0.802,0.947,0.759,1.25,0.72
CSGS,0.785,0.965,0.758,0.18,0.0
SONY,0.809,0.936,0.757,0.14,0.3
TSEM,0.818,0.925,0.757,0.42,0.41
SSRM,0.764,0.99,0.756,0.52,0.68
BTSG,0.816,0.927,0.756,0.49,0.5
AEE,0.864,0.875,0.756,0.15,0.13
VIK,0.91,0.83,0.755,0.3,0.3
VEEV,0.881,0.857,0.755,0.26,0.09
SYM,0.871,0.866,0.754,0.9,0.83
FER,0.766,0.984,0.754,0.18,0.53
RY,0.845,0.891,0.753,0.13,0.41
ATI,0.829,0.908,0.753,0.42,0.74
ROKU,0.939,0.801,0.752,0.59,0.76
ADM,0.955,0.786,0.751,0.38,0.95
LHX,0.926,0.811,0.751,0.26,0.78
MRCY,0.784,0.956,0.75,0.38,0.2
EYE,0.783,0.958,0.75,0.46,0.43
COIN,0.997,0.752,0.75,0.59,0.38
VTR,0.911,0.822,0.749,0.26,0.84
VLO,0.923,0.81,0.748,0.33,0.58
SPHR,0.886,0.844,0.748,0.59,0.75
DUK,0.942,0.794,0.748,0.15,0.15
MEDP,0.852,0.876,0.746,0.4,0.7
TEM,0.973,0.767,0.746,0.66,0.06
CMI,0.932,0.8,0.746,0.27,0.69
BITF,0.924,0.807,0.746,1.32,0.94
ULTA,0.905,0.823,0.745,0.28,0.32
BSX,0.97,0.768,0.745,0.23,0.61
VST,0.971,0.767,0.745,0.52,0.44
TME,0.795,0.936,0.744,0.3,0.06
CCCX,0.782,0.952,0.744,1.58,0.92
EMBJ,0.795,0.935,0.743,0.33,0.4
AMG,0.819,0.907,0.743,0.3,0.77
ASND,0.811,0.916,0.743,0.43,0.32
CDTX,0.757,0.978,0.74,0.74,0.21
AUPH,0.794,0.932,0.74,0.64,0.98
VIAV,0.802,0.923,0.74,0.43,0.9
URBN,0.85,0.871,0.74,0.41,0.52
BBD,0.821,0.901,0.74,0.24,0.08
DE,0.972,0.76,0.739,0.25,0.44
CM,0.763,0.968,0.739,0.15,0.39
PPL,0.903,0.817,0.738,0.18,0.38
BNS,0.771,0.957,0.738,0.12,0.33
NEU,0.778,0.948,0.738,0.31,0.96
BROS,0.909,0.812,0.738,0.48,0.56
MTZ,0.902,0.817,0.737,0.52,0.81
WYNN,0.881,0.837,0.737,0.35,0.62
APG,0.788,0.934,0.736,0.32,0.72
RDDT,0.989,0.743,0.735,0.65,0.28
GRAB,0.962,0.763,0.734,0.47,0.52
CRCL,0.983,0.747,0.734,0.73,0.03
RBRK,0.875,0.838,0.733,0.48,0.16
SMCI,0.991,0.739,0.732,0.54,0.2
